Size,Data Type,Avg Execution Time (ns),Avg Space Allocated (bytes)
10,Random,1670,136
10,Sorted,1230,136
10,Reversed,2090,136
10,Nearly Sorted,1340,136
100,Random,8390,2688
100,Sorted,6400,2688
100,Reversed,6300,2688
100,Nearly Sorted,8240,2688
1000,Random,105720,39904
1000,Sorted,68880,39904
1000,Reversed,63500,39904
1000,Nearly Sorted,85130,39904
10000,Random,958860,534464
10000,Sorted,644300,534464
10000,Reversed,642300,534464
10000,Nearly Sorted,779140,534464
100000,Random,11339790,6675712
100000,Sorted,7764610,6675712
100000,Reversed,7724820,6675712
100000,Nearly Sorted,9506880,6675712
1000000,Random,122441470,79805696
1000000,Sorted,86654320,79805696
1000000,Reversed,87886650,79805696
1000000,Nearly Sorted,108002480,79805696
